,nameFirst,nameFull,nameLast
739,Earl,Earl Battey,Battey
740,Joe,Joe Battin,Battin
741,Allen,Allen Battle,Battle
742,Howard,Howard Battle,Battle
743,Jim,Jim Battle,Battle
744,Chris,Chris Batton,Batton
745,Matt,Matt Batts,Batts
746,Hank,Hank Bauer,Bauer
747,Lou,Lou Bauer,Bauer
748,Rick,Rick Bauer,Bauer
749,Al,Al Bauer,Bauer
750,Russ,Russ Bauers,Bauers
751,Justin,Justin Baughman,Baughman
752,Frank,Frank Baumann,Baumann
753,Paddy,Paddy Baumann,Baumann
754,Jim,Jim Baumer,Baumer
755,George,George Baumgardner,Baumgardner
756,Ross,Ross Baumgarten,Baumgarten
757,Harry,Harry Baumgartner,Baumgartner
758,John,John Baumgartner,Baumgartner
759,Stan,Stan Baumgartner,Baumgartner
760,Frank,Frank Baumholtz,Baumholtz
761,George,George Bausewine,Bausewine
762,Ed,Ed Bauta,Bauta
763,Danny,Danny Bautista,Bautista
764,Jose,Jose Bautista,Bautista
765,Jim,Jim Baxes,Baxes
766,Mike,Mike Baxes,Baxes
767,Moose,Moose Baxter,Baxter
768,Harry,Harry Bay,Bay
769,Dick,Dick Bayless,Bayless
770,Don,Don Baylor,Baylor
771,Bill,Bill Bayne,Bayne
772,Jack,Jack Beach,Beach
773,Bob,Bob Beall,Beall
774,Johnny,Johnny Beall,Beall
775,Walter,Walter Beall,Beall
776,Tommy,Tommy Beals,Beals
777,Alex,Alex Beam,Beam
778,Ernie,Ernie Beam,Beam
779,Charlie,Charlie Beamon,Beamon
780,Charlie,Charlie Beamon,Beamon
781,Trey,Trey Beamon,Beamon
782,Belve,Belve Bean,Bean
783,Bill,Bill Bean,Bean
784,Joe,Joe Bean,Bean
785,Billy,Billy Beane,Beane
786,Dave,Dave Beard,Beard
787,Mike,Mike Beard,Beard
788,Ollie,Ollie Beard,Beard
789,Ralph,Ralph Beard,Beard
790,Ted,Ted Beard,Beard
791,Gene,Gene Bearden,Bearden
792,Gary,Gary Beare,Beare
793,Larry,Larry Bearnarth,Bearnarth
794,Kevin,Kevin Bearse,Bearse
795,Chris,Chris Beasley,Beasley
796,Lew,Lew Beasley,Beasley
797,Ed,Ed Beatin,Beatin
798,Dave,Dave Beatle,Beatle
799,Jim,Jim Beattie,Beattie
800,Blaine,Blaine Beatty,Beatty
801,Desmond,Desmond Beatty,Beatty
802,Jim,Jim Beauchamp,Beauchamp
803,Ginger,Ginger Beaumont,Beaumont
804,Ed,Ed Beavens,Beavens
805,Johnny,Johnny Beazley,Beazley
806,Buck,Buck Becannon,Becannon
807,George,George Bechtel,Bechtel
808,Boom-Boom,Boom-Boom Beck,Beck
809,Clyde,Clyde Beck,Beck
810,Erve,Erve Beck,Beck
811,Frank,Frank Beck,Beck
812,Fred,Fred Beck,Beck
813,George,George Beck,Beck
814,Rich,Rich Beck,Beck
815,Rod,Rod Beck,Beck
816,Zinn,Zinn Beck,Beck
817,Heinie,Heinie Beckendorf,Beckendorf
818,Beals,Beals Becker,Becker
819,Bob,Bob Becker,Becker
820,Charlie,Charlie Becker,Becker
821,Heinz,Heinz Becker,Becker
822,Joe,Joe Becker,Becker
823,Marty,Marty Becker,Becker
824,Rich,Rich Becker,Becker
825,Glenn,Glenn Beckert,Beckert
826,Josh,Josh Beckett,Beckett
827,Robbie,Robbie Beckett,Beckett
828,Jake,Jake Beckley,Beckley
829,Jim,Jim Beckman,Beckman
830,Bill,Bill Beckmann,Beckmann
831,Joe,Joe Beckwith,Beckwith
832,Julio,Julio Becquer,Becquer
833,Howie,Howie Bedell,Bedell
834,Gene,Gene Bedford,Bedford
835,Phil,Phil Bedgood,Bedgood
836,Hugh,Hugh Bedient,Bedient
837,Andy,Andy Bednar,Bednar
838,Steve,Steve Bedrosian,Bedrosian
839,Fred,Fred Beebe,Beebe
840,Matt,Matt Beech,Beech
841,Ed,Ed Beecher,Beecher
842,Ed,Ed Biecher,Biecher
843,Roy,Roy Beecher,Beecher
844,Jodie,Jodie Beeler,Beeler
845,Andy,Andy Beene,Beene
846,Fred,Fred Beene,Beene
847,Clarence,Clarence Beers,Beers
848,Joe,Joe Beggs,Beggs
849,Ed,Ed Begley,Begley
850,Gene,Gene Begley,Begley
851,Jim,Jim Begley,Begley
852,Petie,Petie Behan,Behan
853,Steve,Steve Behel,Behel
854,Rick,Rick Behenna,Behenna
855,Mel,Mel Behney,Behney
856,Hank,Hank Behrman,Behrman
857,Joe,Joe Beimel,Beimel
858,Kevin,Kevin Beirne,Beirne
859,Ollie,Ollie Bejma,Bejma
860,Mark,Mark Belanger,Belanger
861,Wayne,Wayne Belardi,Belardi
862,Kevin,Kevin Belcher,Belcher
863,Tim,Tim Belcher,Belcher
864,Ira,Ira Belden,Belden
865,Stan,Stan Belinda,Belinda
866,Bo,Bo Belinsky,Belinsky
867,Todd,Todd Belitz,Belitz
868,Tim,Tim Belk,Belk
869,Beau,Beau Bell,Bell
870,Bill,Bill Bell,Bell
871,Buddy,Buddy Bell,Bell
872,Charlie,Charlie Bell,Bell
873,Cool Papa,Cool Papa Bell,Bell
874,David,David Bell,Bell
875,Derek,Derek Bell,Bell
876,Eric,Eric Bell,Bell
877,Fern,Fern Bell,Bell
878,Frank,Frank Bell,Bell
879,Gary,Gary Bell,Bell
880,George,George Bell,Bell
881,George,George Bell,Bell
882,Gus,Gus Bell,Bell
883,Hi,Hi Bell,Bell
884,Jay,Jay Bell,Bell
885,Jerry,Jerry Bell,Bell
886,Juan,Juan Bell,Bell
887,Kevin,Kevin Bell,Bell
888,Les,Les Bell,Bell
889,Mike,Mike Bell,Bell
890,Mike,Mike Bell,Bell
891,Ralph,Ralph Bell,Bell
892,Rob,Rob Bell,Bell
893,Rudy,Rudy Bell,Bell
894,Terry,Terry Bell,Bell
895,Zeke,Zeke Bella,Bella
896,Steve,Steve Bellan,Bellan
897,Albert,Albert Belle,Belle
898,Mark,Mark Bellhorn,Bellhorn
899,Rafael,Rafael Belliard,Belliard
900,Ron,Ron Belliard,Belliard
901,Clay,Clay Bellinger,Bellinger
902,Jack,Jack Bellman,Bellman
903,Rob,Rob Belloir,Belloir
904,Carlos,Carlos Beltran,Beltran
905,Rigo,Rigo Beltran,Beltran
906,Adrian,Adrian Beltre,Beltre
